PLID,VID,Length,Dim
1,1,6.75,0.400000005960464
2,2,6.75,0.400000005960464
3,3,6.75,0.400000005960464
4,4,6.75,0.400000005960464
5,5,6.75,0.400000005960464
6,6,6.75,0.400000005960464
7,7,6.75,0.400000005960464
8,8,6.75,0.400000005960464
9,9,6.75,0.400000005960464
10,10,6.75,0.400000005960464
11,11,6.75,0.400000005960464
12,12,6.75,0.400000005960464
13,13,6.75,0.400000005960464
14,14,6.75,0.400000005960464
15,15,6.75,0.400000005960464
16,16,6.75,0.400000005960464
17,17,6.75,0.400000005960464
18,18,6.75,0.400000005960464
19,19,6.75,0.400000005960464
20,20,6.75,0.400000005960464
21,21,6.75,0.400000005960464
22,22,6.75,0.400000005960464
23,23,6.75,0.400000005960464
24,24,6.75,0.400000005960464
25,25,6.75,0.400000005960464
26,26,6.75,0.400000005960464
27,27,6.75,0.400000005960464
28,28,6.75,0.400000005960464
29,29,6.75,0.400000005960464
30,30,6.75,0.400000005960464
31,31,6.75,0.400000005960464
32,32,6.75,0.400000005960464
33,33,6.75,0.400000005960464
34,34,6.75,0.400000005960464
35,35,6.75,0.400000005960464
36,36,6.75,0.400000005960464
37,37,6.75,0.400000005960464
38,38,6.75,0.400000005960464
39,39,6.75,0.400000005960464
40,40,6.75,0.400000005960464
41,41,6.75,0.400000005960464
42,42,6.75,0.400000005960464
43,43,6.75,0.400000005960464
44,44,6.75,0.400000005960464
45,45,6.75,0.400000005960464
46,46,6.75,0.400000005960464
47,47,6.75,0.400000005960464
48,48,6.75,0.400000005960464
49,49,6.75,0.400000005960464
50,50,6.75,0.400000005960464
51,51,6.75,0.400000005960464
52,52,6.75,0.400000005960464
53,53,6.75,0.400000005960464
54,54,6.75,0.400000005960464
55,55,6.75,0.400000005960464
56,56,6.75,0.400000005960464
57,57,6.75,0.400000005960464
58,58,6.75,0.400000005960464
59,59,6.75,0.400000005960464
60,60,6.75,0.400000005960464
61,61,6.75,0.400000005960464
62,62,6.75,0.400000005960464
63,63,6.75,0.400000005960464
64,64,6.75,0.400000005960464
65,65,6.75,0.400000005960464
66,66,6.75,0.400000005960464
67,67,6.75,0.400000005960464
68,68,6.75,0.400000005960464
69,69,6.75,0.400000005960464
70,70,6.75,0.400000005960464
71,71,6.75,0.400000005960464
72,72,6.75,0.400000005960464
73,73,6.75,0.400000005960464
74,74,6.75,0.400000005960464
75,75,6.75,0.400000005960464
76,76,6.75,0.400000005960464
77,77,6.75,0.400000005960464
78,78,6.75,0.400000005960464
79,79,6.75,0.400000005960464
80,80,6.75,0.400000005960464
81,81,6.75,0.400000005960464
82,82,6.75,0.400000005960464
83,83,6.75,0.400000005960464
84,84,6.75,0.400000005960464
85,85,6.75,0.400000005960464
86,86,6.75,0.400000005960464
87,87,6.75,0.400000005960464
88,88,6.75,0.400000005960464
89,89,6.75,0.400000005960464
90,90,6.75,0.400000005960464
91,91,6.75,0.400000005960464
92,92,6.75,0.400000005960464
93,93,6.75,0.400000005960464
94,94,6.75,0.400000005960464
95,95,6.75,0.400000005960464
96,96,6.75,0.400000005960464
97,97,6.75,0.400000005960464
98,98,6.75,0.400000005960464
99,99,6.75,0.400000005960464
100,100,6.75,0.400000005960464
101,101,6.75,0.400000005960464
102,102,6.75,0.400000005960464
103,103,6.75,0.400000005960464
104,104,6.75,0.400000005960464
105,105,6.75,0.400000005960464
106,106,6.75,0.400000005960464
107,107,6.75,0.400000005960464
108,108,6.75,0.400000005960464
109,109,6.75,0.400000005960464
110,110,6.75,0.400000005960464
111,111,6.75,0.400000005960464
112,112,6.75,0.400000005960464
113,113,6.75,0.400000005960464
114,114,6.75,0.400000005960464
115,115,6.75,0.400000005960464
116,116,6.75,0.400000005960464
117,117,6.75,0.400000005960464
118,118,6.75,0.400000005960464
119,119,6.75,0.400000005960464
120,120,6.75,0.400000005960464
